,지역,년,주,주 평균 일교차(°C),전날 대비 최고 기온 상승 최대 변화(°C),전날 대비 최저 기온 하강 최대 변화(°C),주평균 최대 풍속(m/s),주평균 평균 풍속(m/s),SO2_최대값,CO_최대값,O3_최대값,NO2_최대값,PM10_최대값,PM25_최대값,풍향(N~NE),풍향(NE~E),풍향(E~SE),풍향(SE~S),풍향(S~SW),풍향(SW~W),풍향(W~NW),풍향(NW~N),환자 수,주 평균 기온(°C) 5도 미만,주 평균 기온(°C) 5도 이상 15도 미만,주 평균 기온(°C) 15도 이상 25도 미만,주 평균 기온(°C) 25도 이상,상대습도 (건조),상대습도 (적정),상대습도 (습함)
0,광주,2020,2,6.971428571428572,8.899999999999999,-4.6,10.0,1.7571428571428573,0.009,2.0,0.048,0.05728571428571429,87.0,56.857142857142854,1,3,0,0,0,2,0,1,26.0,0,1,0,0,0,1,0
1,대구,2020,2,8.385714285714286,12.7,-4.6,8.6,2.414285714285714,0.009,1.4428571428571428,0.04528571428571428,0.054285714285714284,98.28571428571429,71.42857142857143,0,0,1,0,0,1,5,0,56.0,1,0,0,0,0,1,0
2,대전,2020,2,8.442857142857143,9.2,-4.3,5.2,1.4142857142857144,0.004571428571428572,1.1714285714285713,0.03514285714285714,0.04128571428571428,72.85714285714286,56.142857142857146,0,2,0,2,0,3,0,0,45.0,1,0,0,0,0,1,0
3,부산,2020,2,8.085714285714285,8.7,-4.1,15.9,3.7285714285714286,0.010714285714285714,1.6714285714285713,0.04814285714285714,0.06928571428571428,110.85714285714286,77.71428571428571,0,1,0,0,0,2,3,1,66.0,0,1,0,0,0,1,0
4,서울,2020,2,6.171428571428572,3.1000000000000005,-4.6000000000000005,6.3,2.642857142857143,0.014142857142857143,1.5571428571428572,0.04971428571428571,0.060142857142857144,94.57142857142857,69.14285714285714,0,2,0,0,0,1,1,3,258.0,1,0,0,0,0,1,0
5,울산,2020,2,9.057142857142855,10.2,-3.7,6.4,2.357142857142857,0.034428571428571426,1.542857142857143,0.046142857142857145,0.05128571428571428,98.85714285714286,56.42857142857143,0,0,0,1,0,1,2,3,25.0,0,1,0,0,0,1,0
6,인천,2020,2,4.942857142857143,2.966666666666667,-4.033333333333333,8.3,3.4285714285714284,0.013571428571428571,1.4142857142857144,0.04214285714285714,0.06514285714285714,88.28571428571429,64.14285714285714,1,2,0,0,0,0,0,4,72.0,1,0,0,0,0,1,0
7,광주,2020,3,7.6000000000000005,2.5999999999999996,-2.7,4.5,1.4142857142857144,0.014714285714285716,1.5,0.049571428571428565,0.06242857142857143,96.57142857142857,70.57142857142857,1,4,0,0,0,0,0,2,32.0,1,0,0,0,0,1,0
8,대구,2020,3,9.257142857142856,2.0,-2.1,7.2,2.1714285714285713,0.008571428571428572,1.2714285714285716,0.04357142857142857,0.061714285714285715,87.85714285714286,55.0,0,0,0,0,0,2,5,0,58.0,1,0,0,0,0,1,0
9,대전,2020,3,9.257142857142856,2.0,-2.0,4.7,1.157142857142857,0.006714285714285714,1.1285714285714286,0.036571428571428574,0.047142857142857146,78.42857142857143,58.142857142857146,0,0,0,0,0,6,0,1,44.0,1,0,0,0,0,1,0
10,부산,2020,3,7.771428571428572,2.5,-1.8000000000000003,7.0,2.7714285714285714,0.013571428571428571,1.6142857142857143,0.048999999999999995,0.06942857142857142,109.57142857142857,71.28571428571429,0,0,0,0,0,0,2,5,65.0,1,0,0,0,0,1,0
11,서울,2020,3,7.985714285714286,2.4,-1.2000000000000002,6.1,1.842857142857143,0.020571428571428574,1.5714285714285714,0.049571428571428565,0.06628571428571428,105.42857142857143,72.14285714285714,0,0,0,0,0,1,0,6,289.0,1,0,0,0,0,1,0
12,울산,2020,3,8.142857142857142,1.700000000000001,-1.9,5.6,2.5,0.026857142857142857,1.3142857142857143,0.04014285714285715,0.05657142857142857,70.85714285714286,44.142857142857146,0,0,0,0,0,0,1,6,25.0,1,0,0,0,0,1,0
13,인천,2020,3,6.395238095238095,2.0000000000000004,-1.5,7.6,2.9285714285714284,0.015142857142857142,1.4714285714285715,0.047,0.07442857142857143,101.85714285714286,72.14285714285714,0,0,0,0,0,2,0,5,84.0,1,0,0,0,0,1,0
14,광주,2020,4,7.871428571428572,5.6000000000000005,-3.4000000000000004,4.6,1.2571428571428573,0.007857142857142858,1.3285714285714287,0.04814285714285714,0.06942857142857142,108.71428571428571,72.57142857142857,1,6,0,0,0,0,0,0,33.0,0,1,0,0,0,1,0
15,대구,2020,4,7.457142857142857,3.200000000000001,-4.4,6.4,1.8142857142857143,0.008285714285714287,1.5571428571428572,0.04128571428571428,0.062,102.42857142857143,68.42857142857143,0,2,2,0,0,1,2,0,46.0,1,0,0,0,0,1,0
16,대전,2020,4,9.771428571428572,9.4,-4.3999999999999995,7.5,1.2857142857142858,0.0051428571428571435,1.2714285714285716,0.03542857142857143,0.049999999999999996,99.71428571428571,67.0,1,2,0,0,0,3,1,0,47.0,1,0,0,0,0,1,0
17,부산,2020,4,6.4142857142857155,5.800000000000001,-2.1999999999999993,6.5,2.642857142857143,0.012714285714285714,1.457142857142857,0.049428571428571426,0.06828571428571428,109.57142857142857,83.71428571428571,0,5,0,0,0,1,0,1,73.0,0,1,0,0,0,1,0
18,서울,2020,4,9.528571428571428,3.0999999999999996,-2.9,6.1,1.9285714285714286,0.02114285714285714,1.7428571428571427,0.05185714285714286,0.07257142857142858,118.57142857142857,89.14285714285714,0,2,0,0,0,1,0,4,233.0,1,0,0,0,0,1,0
19,울산,2020,4,6.585714285714286,4.300000000000001,-1.7000000000000002,4.8,1.9857142857142858,0.03557142857142857,1.5142857142857142,0.04385714285714286,0.052142857142857144,81.85714285714286,45.0,0,1,0,0,0,0,1,5,20.0,0,1,0,0,0,1,0
20,인천,2020,4,7.747619047619048,4.266666666666666,-2.4333333333333336,8.6,3.057142857142857,0.009999999999999998,1.542857142857143,0.045142857142857144,0.07028571428571428,105.0,78.0,1,1,1,0,0,0,0,4,66.0,1,0,0,0,0,1,0
21,광주,2020,5,7.071428571428571,4.1,-2.6,5.1,1.1285714285714286,0.008714285714285714,1.1142857142857143,0.05028571428571428,0.05485714285714286,90.14285714285714,64.42857142857143,0,1,0,0,2,2,1,1,26.0,0,1,0,0,0,1,0
22,대구,2020,5,7.357142857142857,2.5999999999999996,-2.7,7.7,1.8,0.006571428571428571,1.342857142857143,0.04642857142857143,0.05771428571428572,71.57142857142857,50.57142857142857,0,4,0,0,0,0,2,1,51.0,0,1,0,0,0,1,0
23,대전,2020,5,7.571428571428571,2.3000000000000007,-3.1,6.3,1.2714285714285716,0.004714285714285714,0.9142857142857144,0.04257142857142857,0.039714285714285716,63.142857142857146,43.42857142857143,1,0,2,1,0,1,2,0,40.0,1,0,0,0,0,1,0
24,부산,2020,5,7.657142857142857,3.0999999999999996,-2.6000000000000005,9.5,2.9714285714285715,0.011428571428571429,1.2285714285714284,0.053285714285714283,0.055285714285714285,90.71428571428571,68.0,2,2,0,0,0,2,1,0,57.0,0,1,0,0,0,1,0
25,서울,2020,5,6.771428571428571,2.4000000000000004,-2.5999999999999996,7.0,2.414285714285714,0.023428571428571427,1.4428571428571428,0.05142857142857143,0.05542857142857143,82.14285714285714,58.57142857142857,0,3,0,0,0,2,0,2,230.0,1,0,0,0,0,1,0
26,울산,2020,5,6.785714285714286,3.0,-2.8,6.8,2.7714285714285714,0.037571428571428575,1.157142857142857,0.048428571428571425,0.04857142857142858,57.714285714285715,37.57142857142857,1,0,0,0,0,0,1,5,31.0,0,1,0,0,0,1,0
27,인천,2020,5,5.923809523809524,2.0666666666666673,-1.7333333333333334,8.1,3.085714285714286,0.008857142857142857,1.2142857142857142,0.048857142857142856,0.055285714285714285,73.28571428571429,51.57142857142857,0,2,0,0,0,1,1,3,85.0,1,0,0,0,0,1,0
28,광주,2020,6,8.814285714285715,2.3999999999999995,-2.3999999999999995,5.1,1.5857142857142856,0.013,1.3857142857142857,0.048857142857142856,0.05485714285714286,67.42857142857143,51.285714285714285,4,2,0,0,0,1,0,0,21.0,1,0,0,0,0,1,0
29,대구,2020,6,9.985714285714286,4.1,-4.800000000000001,7.0,2.7285714285714286,0.008285714285714287,1.2714285714285716,0.04442857142857143,0.057571428571428565,71.14285714285714,50.857142857142854,0,0,0,0,0,0,6,1,57.0,1,0,0,0,0,1,0
30,대전,2020,6,10.914285714285715,4.0,-3.3000000000000003,4.7,1.4428571428571428,0.0054285714285714284,0.8142857142857143,0.04157142857142857,0.04,59.57142857142857,46.0,0,1,1,0,0,5,0,0,54.0,1,0,0,0,0,1,0
31,부산,2020,6,9.171428571428573,3.3000000000000007,-2.6999999999999997,8.9,3.1142857142857143,0.008428571428571428,1.0571428571428572,0.048428571428571425,0.05385714285714286,80.0,56.142857142857146,0,0,0,0,0,0,2,5,75.0,1,0,0,0,1,0,0
32,서울,2020,6,8.457142857142857,5.300000000000001,-5.0,6.2,2.585714285714286,0.01757142857142857,1.2571428571428573,0.05385714285714286,0.061285714285714284,86.28571428571429,65.85714285714286,0,0,0,0,0,2,1,4,249.0,1,0,0,0,0,1,0
33,울산,2020,6,9.414285714285715,4.3999999999999995,-3.0999999999999996,5.1,2.6,0.020714285714285713,1.5,0.045714285714285714,0.05342857142857143,63.57142857142857,39.42857142857143,0,0,0,0,0,0,2,5,38.0,1,0,0,0,0,1,0
